CODE;CLIENT;"MONTANT (EN EURO)";"TAXE (EN EURO)";"MONTANT A REGLER (EN EURO)";"MONTANT PAYE (EN EURO)";ETAT
20230810-JFGABHC-4383;SWA;2970.00;594.00;3564;3564;PAYE
20230809-URWMFET-4382;"Elican Biotech";4493.37;898.67;5392.04;0;"NON PAYE"
20230809-YDTSCWK-4381;SWA;6129.25;1225.85;7355.1;7355.1;PAYE
20230620-SIDLDSW-4338;SWA;489.35;97.87;587.22;587.22;PAYE
20230619-PAHQHDL-4332;SWA;2065.71;413.14;2478.85;2478.85;PAYE
20230531-YDYWEUY-4313;SWA;908.40;181.68;1090.08;1090.08;PAYE
20230510-CBYKRQJ-4293;SWA;1236.01;247.20;1483.21;1483.21;PAYE
20230413-KLQFGRC-4269;SWA;1132.20;226.44;1358.64;1358.64;PAYE
20230404-NLYAGXT-4258;"Elican Biotech";308.94;61.79;370.73;0;"NON PAYE"
20230404-TPCIKEV-4257;SWA;1236.01;247.20;1483.21;1483.21;PAYE
20230329-ATLKMZO-4252;SWA;2089.68;417.94;2507.62;2507.62;PAYE
20230316-WWIXYBD-4235;"Elican Biotech";2116.80;423.36;2540.16;0;"NON PAYE"
20230316-RSFBYTL-4234;"Elican Biotech";26723.28;5344.66;32067.94;0;"NON PAYE"
20230315-ZKIKZWR-4233;SWA;950.40;190.08;1140.48;1140.48;PAYE
20230301-QDXDBCZ-4220;SWA;2264.83;452.97;2717.8;2717.8;PAYE
20230301-CCGWWVK-4219;"Elican Biotech";308.94;61.79;370.73;0;"NON PAYE"
20230228-EHJLRGS-4212;SWA;6981.40;1396.28;8377.68;8377.68;PAYE
20230228-SDKRFRD-4211;SWA;80.00;16.00;96;96;PAYE
20230221-ZAMFREK-4207;SWA;535.20;107.04;642.24;642.24;PAYE
20230207-JFVYMKH-4190;SWA;4783.78;956.76;5740.54;2000;"PAYE -3740.54euro"
20230207-TBZTBWI-4189;"Elican Biotech";308.94;61.79;370.73;0;"NON PAYE"
20230201-MQCNMCP-4180;SWA;11880.00;2376.00;14256;14256;PAYE
20230126-ZLGSSQA-4175;"TAKASAGO  EUROPE  GMBH";350.00;0.00;350;0;"NON PAYE"
20230116-MYELASN-4161;SWA;4678.98;935.80;5614.78;5614.78;PAYE
20230116-WMKKFFO-4160;"L'Effet Domino";783.58;156.72;940.3;0;"NON PAYE"
20230116-JRJUXNZ-4159;"Elican Biotech";617.88;123.58;741.46;0;"NON PAYE"
20221229-PAIJHSI-4140;SWA;7396.72;1479.34;8876.06;8876.06;PAYE
20221228-EKMXDRI-4138;SWA;1873.04;374.61;2247.65;2247.65;PAYE
20221116-MCGNJII-4082;SWA;800.00;160.00;960;960;PAYE
20221103-BRHISVB-4075;SWA;1799.20;359.84;2159.04;2159.04;PAYE
20221102-OABHZFV-4074;"L'Effet Domino";391.79;78.36;470.15;0;"NON PAYE"
20221102-WOPGUOA-4073;"Elican Biotech";308.94;61.79;370.73;0;"NON PAYE"
20221102-XKQLGYG-4072;SWA;955.50;191.10;1146.6;1146.6;PAYE
20221102-VUWKPWU-4071;SWA;580.00;116.00;696;696;PAYE
20221102-VBRIEYP-4070;SWA;376.04;75.21;451.25;451.25;PAYE
20221102-EQEWIOS-4069;SWA;35640.00;7128.00;42768;42768;PAYE
20221019-PSYQLJT-4053;SWA;949.00;189.80;1138.8;1138.8;PAYE
20221019-XECWXAE-4052;SWA;457.10;91.42;548.52;548.52;PAYE
20221019-UXJOCTB-4051;SWA;580.00;116.00;696;696;PAYE
20221018-DQVPPWJ-4050;"GROUPE   ELICAN";2139.85;427.97;2567.82;0;"NON PAYE"
20221013-SPQXTCX-4045;"Elican Biotech";1327.20;265.44;1592.64;0;"NON PAYE"
20221004-HHFIYDT-4038;"L'Effet Domino";391.79;78.36;470.15;0;"NON PAYE"
20221004-IXKFYKK-4036;"Elican Biotech";308.94;61.79;370.73;0;"NON PAYE"
20221004-JAUYFKC-4035;SWA;531.04;106.21;637.25;637.25;PAYE
20221004-FVLBPYN-4034;SWA;1164.50;232.90;1397.4;1397.4;PAYE
20220930-RBNMASE-4031;SWA;431.48;86.30;517.78;517.78;PAYE
20220926-DERTEGA-4020;SWA;1000.00;200.00;1200;1200;PAYE
20220926-TNDSJSH-4019;SWA;726.81;145.36;872.17;872.17;PAYE
20220831-GOGKVSZ-3994;"L'Effet Domino";386.67;77.33;464;0;"NON PAYE"
20220831-TRIASTC-3993;"Elican Biotech";306.33;61.27;367.6;0;"NON PAYE"
20220831-OKLSFWJ-3992;SWA;894.29;178.86;1073.15;1073.15;PAYE
20220831-UPFERIE-3991;SWA;888.53;177.71;1066.24;1066.24;PAYE
20220805-ENWLRXW-3971;SWA;107.01;21.40;128.41;128.41;PAYE
20220802-SHTURRP-3967;SWA;1000.00;200.00;1200;1200;PAYE
20220801-MXUOHWC-3965;"L'Effet Domino";386.67;77.33;464;0;"NON PAYE"
20220801-RCFBUMN-3964;"Elican Biotech";306.33;61.27;367.6;0;"NON PAYE"
20220801-IPUGNGS-3963;SWA;382.03;76.41;458.44;458.44;PAYE
20220801-OEBXMPC-3962;SWA;894.29;178.86;1073.15;1073.15;PAYE
20220728-OTUVYNY-3960;DBS;2116.84;423.37;2540.21;2540.21;PAYE
20220727-BCIKPUX-3957;"L'Effet Domino";386.67;77.33;464;0;"NON PAYE"
20220727-JJSRNEE-3956;"Elican Biotech";306.33;61.27;367.6;0;"NON PAYE"
20220727-RVQNHAQ-3955;SWA;2300.23;460.05;2760.28;2760.28;PAYE
20220727-ZSZIPAT-3954;SWA;894.29;178.86;1073.15;1073.15;PAYE
20220726-MKXWHFM-3952;SWA;747.37;149.47;896.84;896.84;PAYE
